dgp,N,method,target,target_group,true_value_mean,mean_estimate,bias,rmse,mc_sd,mean_se,coverage,mean_interval_length,point_retained,inference_retained,attempted,extreme_finite_estimate_count
2,50,selected_rank,B_G2_fixed_time,local_plugin,0.5287448309793519,0.7401905702326183,0.21144573925326632,0.22805998962122856,0.25638370279151135,0.11488555113818881,0.5,0.4503430851497694,2,2,3,0
2,50,selected_rank,B_G2_minus_G1_fixed_time,local_plugin,-0.004683108381959716,0.057992620317222666,0.06267572869918238,0.11177678786215743,0.2075384869618807,0.06521970509291586,1.0,0.2556565461288772,2,2,3,0
2,50,selected_rank,B_G2_minus_G1_time_average,broad,-0.008127513907030356,0.04674711315058061,0.05487462705761097,0.1037857639370084,0.2119886965903482,0.0873406751527746,1.0,0.34236915536970125,2,2,3,0
2,50,selected_rank,B_G2_time_average,broad,0.5956124247719393,0.6854694576240281,0.08985703285208874,0.09177832301975926,0.08878867391957451,0.0661279217543228,1.0,0.2592166900219109,2,2,3,0
2,50,selected_rank,B_entry,local_plugin,0.22262339832222866,0.16290062758398757,-0.05972277073824109,0.2631357776040749,0.4168097316169869,0.22080009665755232,1.0,0.8655204744635306,2,2,3,0
2,50,selected_rank,B_fixed_time_mean,local_plugin,0.5310863851703318,0.711194260074007,0.18010787490367514,0.18431936045440447,0.15261445931057105,0.10531535736835965,0.5,0.4128286149218999,2,2,3,0
2,50,selected_rank,B_full_mean,broad,0.5996761817254543,0.6620959010487382,0.06241971932328377,0.088492375534115,0.01720567437559992,0.047312019297945276,0.5,0.18545970771967352,2,2,3,0
2,100,fixed_rank,A_G1_fixed_time,local_plugin,0.5837939615252409,0.5568604203237036,-0.026933541201537237,0.045203083965155356,0.11867002892436206,0.059330007968729455,1.0,0.23256935764236827,3,3,3,0
2,100,fixed_rank,A_G1_time_average,broad,0.5108479586982547,0.5019539488272782,-0.008894009870976494,0.00912947727423946,0.014235740872517713,0.013479736262489475,1.0,0.05283959519115586,3,3,3,0
2,100,fixed_rank,A_G2_fixed_time,local_plugin,0.5892551164947785,0.5682922880608726,-0.02096282843390575,0.04291764861107419,0.11557152692220383,0.06050178584226872,1.0,0.23716264250240404,3,3,3,0
2,100,fixed_rank,A_G2_minus_G1_fixed_time,local_plugin,0.00546115496953764,0.011431867737169074,0.005970712767631434,0.00911982174856134,0.004215239360193565,0.014461200470729957,1.0,0.0566868641916888,3,3,3,1
2,100,fixed_rank,A_G2_minus_G1_time_average,broad,0.004607876250775828,0.007308351421853351,0.0027004751710775223,0.0038512337811548764,0.0019516721993591566,0.016103657465816892,1.0,0.06312517730474132,3,3,3,0
2,100,fixed_rank,A_G2_time_average,broad,0.5154558349490305,0.5092623002491318,-0.006193534699898621,0.006877587140318343,0.01590475836063392,0.012957235612296177,1.0,0.05079143027860059,3,3,3,0
2,100,fixed_rank,A_entry,local_plugin,0.5753598252734925,0.5305113614847038,-0.04484846378878878,0.07072335866886179,0.07256888371388813,0.09119484583187694,1.0,0.3574772268123228,3,3,3,0
2,100,fixed_rank,A_fixed_time_mean,local_plugin,0.5865245390100097,0.5625763541922882,-0.023948184817721468,0.043838668934524865,0.11711206060565825,0.05947656189393491,1.0,0.23314383847275963,3,3,3,0
2,100,fixed_rank,A_full_mean,broad,0.5131518968236425,0.505608124538205,-0.007543772285437493,0.007849603791115005,0.01506175860437247,0.010481360327816902,1.0,0.04108617750301613,3,3,3,0
