dgp,n,t,c_h,c_xi,target_h_share,achieved_h_share,target_r2,achieved_r2,mean_a,sd_a,mean_b,sd_b,min_a,max_a,min_b,max_b,mean_c_a,max_pre_scaling_abs_a,max_final_abs_a,var_u_tilde,var_h_raw,calibration_draws,minimum_grid_r2,large_c_xi_r2_floor,target_r2_feasible,r2_scale_identified,requested_r2,c_xi_normalization,bracket_lower,bracket_upper,root_residual,infeasible_c_xi_normalization,true_rank_vector,theoretical_max_abs_A,theoretical_max_abs_B,theoretical_max_abs_H,theoretical_coefficient_envelope,realized_calibration_max_abs_A,realized_calibration_max_abs_B,realized_calibration_max_abs_H,recommended_common_B,required_simulation_interior_margin,deterministic_interior_margin,envelope_condition_pass
3,50,50,0.6486273839676513,0.8655435252127747,0.3,0.3,0.65,0.6499999999943499,0.11685497846356852,0.2338998677832858,0.6046308388135391,0.3247314713167068,-0.618468537446224,0.85,0.03427648617994516,1.7955003973848762,0.9958042298032822,0.9073262277205416,0.85,1.002979258966653,1.0217028551796163,50,0.36217494195095284,0.3621571534755075,True,True,0.65,,0.7920164050192549,0.9712740198471168,-5.650147016922347e-12,,"[2, 1, 1]",0.85,2.031384387633061,2.917199120337686,2.917199120337686,0.85,1.7955003973848762,2.4020494266484405,9.0,1.0,6.082800879662313,True
3,100,100,0.7262961286154259,1.0,0.3,0.3,,0.5304411863694284,0.4933292860350869,0.11123666893110812,0.0,0.0,0.20700730083695243,0.85,0.0,0.0,0.9951690478602295,0.8920282118381615,0.85,0.9952204922954104,0.8085652379387358,50,0.5304411863694284,0.5304411863694284,,False,,1.0,,,,,"[1, 0, 2]",0.85,0.0,3.7739453883074923,3.7739453883074923,0.85,0.0,3.2466658326824347,9.0,1.0,5.226054611692508,True
3,100,100,0.6571632396404679,2.252513332454804,0.3,0.3,0.65,0.649999999999519,0.502199742053103,0.11071882739104227,0.6026295937053476,0.32246621026149735,0.202588962094863,0.85,0.03161758164291587,1.8512025184670657,0.9956507108870568,0.8731890840996228,0.85,0.9992101707217494,0.9915931931557502,50,0.5689949860249363,0.5689318539716068,True,True,0.65,,2.196707090793235,2.6938893095901695,-4.810596365700803e-13,,"[1, 1, 1]",0.85,2.031384387633061,7.691703136990293,7.691703136990293,0.85,1.8512025184670657,6.789221214972754,9.0,1.0,1.3082968630097067,True
3,100,100,0.6566538952128617,0.8897351957539176,0.3,0.3,0.65,0.6499999999989234,0.11713054840494427,0.23681480907916092,0.5961953736836852,0.3246447670830442,-0.6410056168296842,0.85,0.03031552905154221,1.8934446308965642,0.9923494562610258,0.8987776342756969,0.85,0.9989943545389509,0.9929175776005255,50,0.3735285533809818,0.3735073787576135,True,True,0.65,,0.7920164050192549,0.9712740198471168,-1.0765832669790143e-12,,"[2, 1, 1]",0.85,2.031384387633061,3.0358420867449007,3.0358420867449007,0.85,1.8934446308965642,2.663278188537956,9.0,1.0,5.964157913255099,True
3,200,200,0.7294819792839925,1.0,0.3,0.30000000000000004,,0.534824177801952,0.49581732737131473,0.11146586247606814,0.0,0.0,0.2008779969025994,0.85,0.0,0.0,0.9903093307631501,0.9004457868427338,0.85,0.9960091223088601,0.8021533382472313,50,0.534824177801952,0.534824177801952,,False,,1.0,,,,,"[1, 0, 2]",0.85,0.0,3.7904995539773463,3.7904995539773463,0.85,0.0,3.1403807018499394,9.0,1.0,5.209500446022654,True
3,200,200,0.6602363954763375,2.2957609782384023,0.3,0.30000000000000004,0.65,0.65,0.49639153357711246,0.1100972778328665,0.601060263390971,0.3254459707515678,0.19867135554707874,0.85,0.026213064639276563,1.9230614511620752,0.9894035558087702,0.8890664441894934,0.85,0.9977081448941624,0.9809069466141915,50,0.5721651807277677,0.5721018041539678,True,True,0.65,,2.196707090793235,2.6938893095901695,0.0,,"[1, 1, 1]",0.85,2.031384387633061,7.8760418105019685,7.8760418105019685,0.85,1.9230614511620752,6.749226408591546,9.0,1.0,1.1239581894980315,True
3,200,200,0.6677408156971066,0.8830621243906052,0.3,0.30000000000000004,0.65,0.6499999999987506,0.11676098741330501,0.2358769085395538,0.5946545636997221,0.32064571103177353,-0.6418634787402769,0.85,0.02606638049643777,1.9059653895725832,0.98194467923296,0.8959112056201924,0.85,0.996900054989208,0.9582062251905386,50,0.3723000504494327,0.3722807169027309,True,True,0.65,,0.7920164050192549,0.9712740198471168,-1.2494449919131512e-12,,"[2, 1, 1]",0.85,2.031384387633061,3.0639456914748653,3.0639456914748653,0.85,1.9059653895725832,2.691952023424018,9.0,1.0,5.936054308525135,True
4,50,50,0.716547744482703,1.0,0.3,0.30000000000000004,,0.530078189112394,0.4840507109989619,0.11890279643580155,0.0,0.0,0.18800553514909246,0.85,0.0,0.0,0.9712210106227321,0.9225249003636563,0.85,0.9982144152106666,0.8332144351648959,50,0.530078189112394,0.530078189112394,,False,,1.0,,,,,"[1, 0, 2]",0.85,0.0,3.723291298478769,3.723291298478769,0.85,0.0,3.151462820997896,9.0,1.0,5.2767087015212315,True
4,50,50,0.6380759832029699,2.3310685476873103,0.3,0.3,0.65,0.65,0.4913265067747144,0.11672511356921102,0.6085625652058936,0.29031558644962757,0.17403001975435575,0.85,0.02745700092076186,1.7675148463042794,0.9720969488830191,0.917355553479887,0.85,0.9972649492316072,1.0497574687622369,50,0.5698047797515823,0.569734513890114,True,True,0.65,,2.196707090793235,2.6938893095901695,0.0,,"[1, 1, 1]",0.85,1.9596152422706632,7.728751166428793,7.728751166428793,0.85,1.7675148463042794,6.440740351782705,9.0,1.0,1.2712488335712067,True
4,50,50,0.6661646024832206,0.8701025007505262,0.3,0.3,0.65,0.6499999999923629,0.12204347326425481,0.24092089882539058,0.5974168639590244,0.28192849228836037,-0.648841440381322,0.85,0.051754692244166255,1.7514323326815122,0.9735800241073441,0.9271664801104934,0.85,0.9933710376175608,0.9593379040718315,50,0.3692722304483113,0.3692524755666172,True,True,0.65,,0.7920164050192549,0.9712740198471168,-7.63711316409399e-12,,"[2, 1, 1]",0.85,1.9596152422706632,3.011853553020976,3.011853553020976,0.85,1.7514323326815122,2.439011064016032,9.0,1.0,5.988146446979024,True
4,100,100,0.7292378958290305,1.0,0.3,0.29999999999999993,,0.526144620218572,0.48283977836467296,0.11520366055286989,0.0,0.0,0.17334967138600405,0.85,0.0,0.0,0.9686164088760524,0.9372638417708063,0.85,1.0019366017040696,0.8074674013732341,50,0.526144620218572,0.526144620218572,,False,,1.0,,,,,"[1, 0, 2]",0.85,0.0,3.789231259141503,3.789231259141503,0.85,0.0,3.1241127063844494,9.0,1.0,5.210768740858497,True
4,100,100,0.6536352731995239,2.031152309028345,0.3,0.3,0.65,0.65,0.4813803625227311,0.11521019750749883,0.6030275198719002,0.28873703828128233,0.175942497875872,0.85,0.0343675473368075,1.8699653773395901,0.9622762116622593,0.9401069062960395,0.85,0.9913166910538698,0.9944081426895596,50,0.5545716084643544,0.5545073359332937,True,True,0.65,,1.7912844546220021,2.196707090793235,0.0,,"[1, 1, 1]",0.85,1.9596152422706632,6.8985823611985,6.8985823611985,0.85,1.8699653773395901,6.353570405067028,9.0,1.0,2.1014176388015002,True
4,100,100,0.6599642317442991,0.878419262653118,0.3,0.30000000000000004,0.65,0.6499999999986511,0.11973854404449993,0.23993552013357697,0.606968292483242,0.2842389465641624,-0.6749621631271878,0.85,0.03894661032327626,1.7575288778105005,0.9607361840931609,0.923838366697188,0.85,1.0008909622306281,0.9848479498957368,50,0.3743237216013709,0.37430330319262434,True,True,0.65,,0.7920164050192549,0.9712740198471168,-1.3489209749195652e-12,,"[2, 1, 1]",0.85,1.9596152422706632,3.0123409900196276,3.0123409900196276,0.85,1.7575288778105005,2.65475864571956,9.0,1.0,5.987659009980373,True
4,200,200,0.72944335699916,1.0,0.3,0.3,,0.5207473212249135,0.4758206545814411,0.113469395540193,0.0,0.0,0.17396079916736884,0.85,0.0,0.0,0.9534289257011443,0.9537956794704292,0.85,1.0007591157287776,0.8060641799592153,50,0.5207473212249135,0.5207473212249135,,False,,1.0,,,,,"[1, 0, 2]",0.85,0.0,3.790298866698443,3.790298866698443,0.85,0.0,3.2986720733856996,9.0,1.0,5.209701133301557,True
4,200,200,0.6531991278067361,2.0231647621265667,0.3,0.3,0.65,0.65,0.473655117064495,0.11197693875026739,0.5963972911486045,0.2833023443047473,0.17272968701157548,0.85,0.019999224368142082,1.826855224370334,0.9533832075896039,0.9358943555773058,0.85,1.000258355915515,1.0047180636354087,50,0.5577025646223845,0.5576376489395323,True,True,0.65,,1.7912844546220021,2.196707090793235,0.0,,"[1, 1, 1]",0.85,1.9596152422706632,6.866868495022824,6.866868495022824,0.85,1.826855224370334,6.2618096603531725,9.0,1.0,2.133131504977176,True
4,200,200,0.6604174468504931,0.8697259629296539,0.3,0.3,0.65,0.6499999999919018,0.11660880426988189,0.2347123715411031,0.596732888088155,0.2853032180003966,-0.6472365750120259,0.85,0.028666318335899187,1.8501372164946015,0.9360290137340654,0.9412639577001426,0.85,0.9966643616016505,0.9793435515897039,50,0.37130994949877716,0.3712886876884129,True,True,0.65,,0.7920164050192549,0.9712740198471168,-8.098188786220817e-12,,"[2, 1, 1]",0.85,1.9596152422706632,2.98457745955742,2.98457745955742,0.85,1.8501372164946015,2.60417445427407,9.0,1.0,6.0154225404425805,True
