frozen_calibration_file,frozen_calibration_hash,design,dgp,N,T,true_rank_vector,c_h,c_xi,r2_scale_identified,intended_r2,calibrated_r2,pi_H,C_A,C_beta,C_H,C_Theta,B,c_B,activated
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,baseline,4,100,100,"[1, 1, 1]",0.6546536707079772,1.9307376336648547,True,0.65,0.6499999999999999,0.30000000000000004,0.85,1.9596152422706632,6.567752090044973,6.567752090044973,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,4,200,200,"[1, 0, 2]",0.7301712917987002,1.0,False,,0.5210906542635242,0.30000000000000004,0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,4,200,200,"[1, 1, 1]",0.6546536707079772,2.0313324733207425,True,0.65,0.65,0.30000000000000004,0.85,1.9596152422706632,6.909943570066841,6.909943570066841,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,4,200,200,"[2, 1, 1]",0.6546536707079772,0.8665765694048798,True,0.65,0.6499999999932109,0.30000000000000004,0.85,1.9596152422706632,2.9478164073953343,2.9478164073953343,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,baseline,4,200,200,"[1, 1, 1]",0.6546536707079772,2.0028959492980847,True,0.65,0.65,0.30000000000000004,0.85,1.9596152422706632,6.813211607718897,6.813211607718897,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,baseline,4,400,400,"[1, 1, 1]",0.6546536707079772,1.9831605726918267,True,0.65,0.65,0.30000000000000004,0.85,1.9596152422706632,6.746078166751292,6.746078166751292,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,4,50,50,"[1, 0, 2]",0.7301712917987002,1.0,False,,0.5365897328913953,0.30000000000000004,0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,4,50,50,"[1, 1, 1]",0.6546536707079772,2.4725313610476847,True,0.65,0.6500000000000001,0.30000000000000004,0.85,1.9596152422706632,8.410761115894578,8.410761115894578,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,4,50,50,"[2, 1, 1]",0.6546536707079772,0.8640019173809609,True,0.65,0.6499999999946233,0.30000000000000004,0.85,1.9596152422706632,2.939058264436711,2.939058264436711,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,baseline,4,50,50,"[1, 1, 1]",0.6546536707079772,1.9996196966822253,True,0.65,0.6499999999999999,0.30000000000000004,0.85,1.9596152422706632,6.802066843878312,6.802066843878312,10.0,1.0,True
