DGP,semantic_replication_id,method,split_type,split_index,effective_N,effective_T,requested_rank,realized_numerical_rank,objective,iterations,convergence,iteration_cap_hit,stationarity_residual,stationarity_pass,coefficient_envelope,coefficient_envelope_ratio,coefficient_bound_hit,sigma_1,sigma_r,sigma_r_over_sigma_1,numerical_rank_loss,best_objective,second_best_objective,objective_stability_gap,objective_stability_pass,objective_stability_assessed,runtime_seconds,primary_numerical_cause,exact_invalidity_reason,A_sigma_1,A_sigma_r,A_sigma_r_over_sigma_1,A_rank_supported,B_sigma_1,B_sigma_r,B_sigma_r_over_sigma_1,B_rank_supported,H_sigma_1,H_sigma_r,H_sigma_r_over_sigma_1,H_rank_supported,full_coefficient_envelope,full_coefficient_envelope_ratio,full_stationarity_residual,full_sigma_r_over_sigma_1,full_objective_stability_gap,full_runtime_seconds
4,dgp4_N50_T50_r00005_truth1-1-1,fixed_rank,unit,0,26,50,"[1, 1, 1]","[1, 1, 1]",1.7086920204649672,13,True,False,4.51930172759804e-05,True,6.034250207564195,0.6704722452849106,False,20.121556478883807,20.121556478883807,1.0,False,,,,,False,0.019824999995762482,valid,valid,20.121556478883807,20.121556478883807,1.0,True,30.112349387977364,30.112349387977364,1.0,True,45.6095525860114,45.6095525860114,1.0,True,8.93355301837427,0.9926170020415856,2.3732551215197305e-05,1.0,8.29656141216024e-07,0.02551480001420714
4,dgp4_N50_T50_r00005_truth1-1-1,fixed_rank,unit,1,24,50,"[1, 1, 1]","[1, 1, 1]",1.5301756085238072,19,True,False,4.715674125239968e-05,True,9.142167131583577,1.0157963479537306,True,19.80318403953355,19.80318403953355,1.0,False,,,,,False,0.026204299996607006,coefficient_bound_hit,coefficient_bound_hit,19.80318403953355,19.80318403953355,1.0,True,36.472029621661676,36.472029621661676,1.0,True,59.39133009862941,59.39133009862941,1.0,True,8.93355301837427,0.9926170020415856,2.3732551215197305e-05,1.0,8.29656141216024e-07,0.02551480001420714
1,dgp1_N50_T50_r00003_truth1-1-1,selected_rank,time,0,50,25,"[1, 1, 1]","[1, 1, 1]",1.6528818964502439,9,True,False,3.727148285882345e-05,True,10.764374511913616,1.196041612434846,True,20.42273026864039,20.42273026864039,1.0,False,,,,,False,0.046151399990776554,coefficient_bound_hit,coefficient_bound_hit,20.42273026864039,20.42273026864039,1.0,True,29.308581858683024,29.308581858683024,1.0,True,50.15166516064352,50.15166516064352,1.0,True,8.678728730242298,0.9643031922491443,2.2670297878625095e-05,1.0,1.8999790024056335e-07,0.06864760001190007
1,dgp1_N50_T50_r00003_truth1-1-1,selected_rank,time,1,50,25,"[1, 1, 1]","[1, 1, 1]",1.4500661603326468,22,True,False,4.435646980932129e-05,True,5.819843030473287,0.646649225608143,False,18.88959222142903,18.88959222142903,1.0,False,,,,,False,0.10935859999153763,valid,valid,18.88959222142903,18.88959222142903,1.0,True,32.96810244436784,32.96810244436784,1.0,True,41.088404742594804,41.088404742594804,1.0,True,8.678728730242298,0.9643031922491443,2.2670297878625095e-05,1.0,1.8999790024056335e-07,0.06864760001190007
1,dgp1_N50_T50_r00003_truth1-1-1,selected_rank,unit,0,26,50,"[1, 1, 1]","[1, 1, 1]",1.635752070717194,15,True,False,2.6621462365317818e-05,True,9.33281187831212,1.0369790975902355,True,20.11586211148075,20.11586211148075,1.0,False,,,,,False,0.07619240001076832,coefficient_bound_hit,coefficient_bound_hit,20.11586211148075,20.11586211148075,1.0,True,33.22652773347398,33.22652773347398,1.0,True,44.43277540554812,44.43277540554812,1.0,True,8.678728730242298,0.9643031922491443,2.2670297878625095e-05,1.0,1.8999790024056335e-07,0.06864760001190007
1,dgp1_N50_T50_r00003_truth1-1-1,selected_rank,unit,1,24,50,"[1, 1, 1]","[1, 1, 1]",1.4168958330711807,11,True,False,5.031987648302868e-05,True,5.907981604594926,0.6564424005105473,False,20.147527112073693,20.147527112073693,1.0,False,,,,,False,0.05551150001701899,valid,valid,20.147527112073693,20.147527112073693,1.0,True,30.849231511392396,30.849231511392396,1.0,True,41.23188903951562,41.23188903951562,1.0,True,8.678728730242298,0.9643031922491443,2.2670297878625095e-05,1.0,1.8999790024056335e-07,0.06864760001190007
1,dgp1_N50_T50_r00005_truth1-1-1,selected_rank,time,0,50,25,"[1, 1, 1]","[1, 1, 1]",1.531105502743421,9,True,False,4.1416563940702246e-05,True,5.413125999313898,0.6014584443682109,False,20.18896378294524,20.18896378294524,1.0,False,,,,,False,0.04501409997465089,valid,valid,20.18896378294524,20.18896378294524,1.0,True,34.21158590658154,34.21158590658154,1.0,True,53.870980159062384,53.870980159062384,1.0,True,6.18200573058081,0.68688952562009,1.9120368236539476e-05,1.0,7.749175984076384e-07,0.049493900005472824
1,dgp1_N50_T50_r00005_truth1-1-1,selected_rank,time,1,50,25,"[1, 1, 1]","[1, 1, 1]",1.5783544012428146,9,True,False,4.6979481145534614e-05,True,7.024118849580514,0.7804576499533904,False,18.946368190692155,18.946368190692155,1.0,False,,,,,False,0.043728799995733425,valid,valid,18.946368190692155,18.946368190692155,1.0,True,39.8047994565913,39.8047994565913,1.0,True,47.19878119073077,47.19878119073077,1.0,True,6.18200573058081,0.68688952562009,1.9120368236539476e-05,1.0,7.749175984076384e-07,0.049493900005472824
1,dgp1_N50_T50_r00005_truth1-1-1,selected_rank,unit,0,26,50,"[1, 1, 1]","[1, 1, 1]",1.6660881554849931,8,True,False,3.575830236982775e-05,True,10.118173349685042,1.124241483298338,True,19.51254643615441,19.51254643615441,1.0,False,,,,,False,0.040401300007943064,coefficient_bound_hit,coefficient_bound_hit,19.51254643615441,19.51254643615441,1.0,True,47.44605719491086,47.44605719491086,1.0,True,49.006596556629745,49.006596556629745,1.0,True,6.18200573058081,0.68688952562009,1.9120368236539476e-05,1.0,7.749175984076384e-07,0.049493900005472824
1,dgp1_N50_T50_r00005_truth1-1-1,selected_rank,unit,1,24,50,"[1, 1, 1]","[1, 1, 1]",1.422741653198181,9,True,False,4.030074515962554e-05,True,5.803443197013944,0.6448270218904383,False,19.258160680861607,19.258160680861607,1.0,False,,,,,False,0.04406139999628067,valid,valid,19.258160680861607,19.258160680861607,1.0,True,30.144305405082907,30.144305405082907,1.0,True,56.62412538449723,56.62412538449723,1.0,True,6.18200573058081,0.68688952562009,1.9120368236539476e-05,1.0,7.749175984076384e-07,0.049493900005472824
