DGP,semantic_replication_id,method,split_type,split_index,effective_N,effective_T,coefficient_envelope,full_coefficient_envelope,stationarity_residual,full_stationarity_residual,sigma_r_over_sigma_1,full_sigma_r_over_sigma_1,objective_stability_gap,full_objective_stability_gap,runtime_seconds,full_runtime_seconds,primary_numerical_cause
3,dgp3_N50_T50_r00005_truth1-1-1,fixed_rank,time,0,50,25,11.685910292052153,8.720966201858628,5.8782234220048915e-05,3.6065093110073946e-05,1.0,1.0,,1.3333297395455396e-07,0.042626300011761487,0.02790439999080263,coefficient_bound_hit
3,dgp3_N50_T50_r00005_truth1-1-1,fixed_rank,time,1,50,25,9.351975174634418,8.720966201858628,7.654096576717756e-05,3.6065093110073946e-05,1.0,1.0,,1.3333297395455396e-07,0.02572510001482442,0.02790439999080263,coefficient_bound_hit
3,dgp3_N50_T50_r00005_truth1-1-1,fixed_rank,unit,0,26,50,11.916005642016035,8.720966201858628,5.2563336057771845e-05,3.6065093110073946e-05,1.0,1.0,,1.3333297395455396e-07,0.04003870001179166,0.02790439999080263,coefficient_bound_hit
3,dgp3_N50_T50_r00005_truth1-1-1,fixed_rank,unit,1,24,50,8.247990674353337,8.720966201858628,4.547251994926956e-05,3.6065093110073946e-05,1.0,1.0,,1.3333297395455396e-07,0.030741100024897605,0.02790439999080263,valid
4,dgp4_N50_T50_r00003_truth1-1-1,fixed_rank,time,0,50,25,7.640890582889746,7.604174076262719,5.6972898446929e-05,3.516179926153263e-05,1.0,1.0,,3.2440647441646425e-06,0.026404000003822148,0.020284300000639632,valid
4,dgp4_N50_T50_r00003_truth1-1-1,fixed_rank,time,1,50,25,7.424818732841062,7.604174076262719,5.190826316390806e-05,3.516179926153263e-05,1.0,1.0,,3.2440647441646425e-06,0.027083099994342774,0.020284300000639632,valid
4,dgp4_N50_T50_r00003_truth1-1-1,fixed_rank,unit,0,26,50,9.063444891330015,7.604174076262719,4.1815052120912104e-05,3.516179926153263e-05,1.0,1.0,,3.2440647441646425e-06,0.03601760001038201,0.020284300000639632,coefficient_bound_hit
4,dgp4_N50_T50_r00003_truth1-1-1,fixed_rank,unit,1,24,50,5.824361528457736,7.604174076262719,3.856346928582328e-05,3.516179926153263e-05,1.0,1.0,,3.2440647441646425e-06,0.014120599982561544,0.020284300000639632,valid
4,dgp4_N50_T50_r00005_truth1-1-1,fixed_rank,time,0,50,25,4.457952783831952,8.93355301837427,3.4643096240050116e-05,2.3732551215197305e-05,1.0,1.0,,8.29656141216024e-07,0.013557700003730133,0.02551480001420714,valid
4,dgp4_N50_T50_r00005_truth1-1-1,fixed_rank,time,1,50,25,11.433491948749692,8.93355301837427,4.462840992158319e-05,2.3732551215197305e-05,1.0,1.0,,8.29656141216024e-07,0.0174059999990277,0.02551480001420714,coefficient_bound_hit
4,dgp4_N50_T50_r00005_truth1-1-1,fixed_rank,unit,0,26,50,6.034250207564195,8.93355301837427,4.51930172759804e-05,2.3732551215197305e-05,1.0,1.0,,8.29656141216024e-07,0.019824999995762482,0.02551480001420714,valid
4,dgp4_N50_T50_r00005_truth1-1-1,fixed_rank,unit,1,24,50,9.142167131583577,8.93355301837427,4.715674125239968e-05,2.3732551215197305e-05,1.0,1.0,,8.29656141216024e-07,0.026204299996607006,0.02551480001420714,coefficient_bound_hit
1,dgp1_N50_T50_r00003_truth1-1-1,selected_rank,time,0,50,25,10.764374511913616,8.678728730242298,3.727148285882345e-05,2.2670297878625095e-05,1.0,1.0,,1.8999790024056335e-07,0.046151399990776554,0.06864760001190007,coefficient_bound_hit
1,dgp1_N50_T50_r00003_truth1-1-1,selected_rank,time,1,50,25,5.819843030473287,8.678728730242298,4.435646980932129e-05,2.2670297878625095e-05,1.0,1.0,,1.8999790024056335e-07,0.10935859999153763,0.06864760001190007,valid
1,dgp1_N50_T50_r00003_truth1-1-1,selected_rank,unit,0,26,50,9.33281187831212,8.678728730242298,2.6621462365317818e-05,2.2670297878625095e-05,1.0,1.0,,1.8999790024056335e-07,0.07619240001076832,0.06864760001190007,coefficient_bound_hit
1,dgp1_N50_T50_r00003_truth1-1-1,selected_rank,unit,1,24,50,5.907981604594926,8.678728730242298,5.031987648302868e-05,2.2670297878625095e-05,1.0,1.0,,1.8999790024056335e-07,0.05551150001701899,0.06864760001190007,valid
1,dgp1_N50_T50_r00005_truth1-1-1,selected_rank,time,0,50,25,5.413125999313898,6.18200573058081,4.1416563940702246e-05,1.9120368236539476e-05,1.0,1.0,,7.749175984076384e-07,0.04501409997465089,0.049493900005472824,valid
1,dgp1_N50_T50_r00005_truth1-1-1,selected_rank,time,1,50,25,7.024118849580514,6.18200573058081,4.6979481145534614e-05,1.9120368236539476e-05,1.0,1.0,,7.749175984076384e-07,0.043728799995733425,0.049493900005472824,valid
1,dgp1_N50_T50_r00005_truth1-1-1,selected_rank,unit,0,26,50,10.118173349685042,6.18200573058081,3.575830236982775e-05,1.9120368236539476e-05,1.0,1.0,,7.749175984076384e-07,0.040401300007943064,0.049493900005472824,coefficient_bound_hit
1,dgp1_N50_T50_r00005_truth1-1-1,selected_rank,unit,1,24,50,5.803443197013944,6.18200573058081,4.030074515962554e-05,1.9120368236539476e-05,1.0,1.0,,7.749175984076384e-07,0.04406139999628067,0.049493900005472824,valid
