dgp,N,method,target,attempted,target_support_rate,gram_min_eigenvalue_min,gram_max_eigenvalue_max,condition_number_max,riesz_residual_max,riesz_convergence_rate,target_rayleigh_min,invalid_variance_count,nonfinite_SE_count
2,50,fixed_rank,B_fixed_time_mean,3,1.0,0.11383350379047824,51.350526701071004,361.3334622500763,9.614288420477392e-09,1.0,0.8989732757321283,0,0
2,50,fixed_rank,B_full_mean,3,1.0,0.11383350379047824,51.350526701071004,361.3334622500763,7.596340816723521e-09,1.0,0.6423413263250016,0,0
2,50,selected_rank,A_G1_fixed_time,3,0.0,,,,,0.0,,3,3
2,50,selected_rank,A_G1_time_average,3,0.0,,,,,0.0,,3,3
2,50,selected_rank,A_G2_fixed_time,3,0.0,,,,,0.0,,3,3
2,50,selected_rank,A_G2_minus_G1_time_average,3,0.0,,,,,0.0,,3,3
2,50,selected_rank,A_G2_time_average,3,0.0,,,,,0.0,,3,3
2,50,selected_rank,A_entry,3,0.0,,,,,0.0,,3,3
2,50,selected_rank,A_fixed_time_mean,3,0.0,,,,,0.0,,3,3
2,50,selected_rank,A_full_mean,3,0.0,,,,,0.0,,3,3
2,50,selected_rank,B_G1_fixed_time,3,0.0,,,,,0.0,,3,3
2,50,selected_rank,B_G1_time_average,3,0.0,,,,,0.0,,3,3
2,50,selected_rank,B_G2_fixed_time,3,0.0,,,,,0.0,,3,3
2,50,selected_rank,B_G2_minus_G1_time_average,3,0.0,,,,,0.0,,3,3
2,50,selected_rank,B_G2_time_average,3,0.0,,,,,0.0,,3,3
2,50,selected_rank,B_entry,3,0.0,,,,,0.0,,3,3
2,50,selected_rank,B_fixed_time_mean,3,0.0,,,,,0.0,,3,3
2,50,selected_rank,B_full_mean,3,0.0,,,,,0.0,,3,3
2,100,fixed_rank,A_G1_fixed_time,3,1.0,0.16477592353858805,43.43806224576771,233.39843892883866,9.678927395877004e-09,1.0,0.9795935679410053,0,0
2,100,fixed_rank,A_G1_time_average,3,1.0,0.16477592353858805,43.43806224576771,233.39843892883866,8.067001743843108e-09,1.0,1.0867784208311781,0,0
