semantic_replication_id,dgp_realization_hash,dgp,N,T,replication,rank_vector,numerical_objective,Q_hat,log_Q_hat,d_r,kappa_NT,penalty_contribution,final_IC,ic_identity_error,valid,selected_rank,true_rank,sources,converged,stationarity_residual,max_envelope_ratio,objective_stability_pass,third_start_used
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[1, 0, 2]",1.946155263144643,3.892310526289286,1.359002946929656,595,2833483.8838854465,168592.29109118407,168593.650094131,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 2)""]",True,4.065739013197833e-07,0.7871265624547228,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[0, 1, 2]",2.2201980727164723,4.440396145432945,1.4907435944084493,595,2833483.8838854465,168592.29109118407,168593.7818347785,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 2)""]",True,8.66317589193105e-05,0.9999999999999998,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[1, 1, 1]",1.6921592206735454,3.384318441347091,1.2191525393695792,597,2833483.8838854465,169158.98786796114,169160.2070205005,0.0,True,False,True,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 2)"", ""nuclear_path_10"", ""nuclear_path_5"", ""nuclear_path_6"", ""nuclear_path_7"", ""nuclear_path_8"", ""nuclear_path_9""]",True,1.5164450147566768e-07,0.6066308645899033,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[1, 0, 3]",1.8573908843736393,3.7147817687472786,1.3123199331730115,790,2833483.8838854465,223845.22682695027,223846.53914688344,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 3)""]",True,4.1117703187144045e-07,0.7930389149755219,True,True
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[0, 1, 3]",2.070995577593937,4.141991155187874,1.4211766275746551,790,2833483.8838854465,223845.22682695027,223846.64800357784,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 3)""]",True,9.447326719199765e-05,1.0000000000000062,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[1, 2, 1]",1.6133802829196462,3.2267605658392924,1.1714787131802022,794,2833483.8838854465,224978.62038050446,224979.79185921766,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 1)""]",True,3.712782610306577e-07,0.7945450114223217,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[1, 1, 2]",1.6153849792764154,3.230769958552831,1.1727204860881586,794,2833483.8838854465,224978.62038050446,224979.79310099056,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 1)"", ""neighbor_of_(1, 1, 3)"", ""nuclear_path_11""]",True,4.048035736290019e-07,0.6584522187578343,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[0, 2, 3]",1.9569753906253842,3.9139507812507683,1.3645472938439156,987,2833483.8838854465,279664.85933949356,279666.2238867874,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 2, 3)""]",True,9.711598581751339e-05,1.0000000000000002,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[1, 1, 3]",1.5438702709151213,3.0877405418302426,1.1274396072045016,989,2833483.8838854465,280231.55611627066,280232.6835558779,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 2)"", ""neighbor_of_(1, 2, 3)"", ""nuclear_path_12"", ""nuclear_path_13"", ""nuclear_path_14""]",True,4.5235689834908333e-07,0.7921991914694713,True,True
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[2, 2, 1]",1.5367988277676203,3.0735976555352407,1.1228487502570206,991,2833483.8838854465,280798.25289304776,280799.375741798,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(2, 2, 2)""]",True,6.219546819072767e-07,0.7914081904502364,True,True
