dgp,N,method,target,true_value_mean,mean_estimate,bias,RMSE,MC_SD,mean_SE,coverage,mean_interval_length,point_retained,inference_retained,attempted
2,100,fixed_rank,A_G2_minus_G1_time_average,-0.006070164976043682,0.006956277509460199,0.013026442485503881,0.01710156191875487,0.03266740761563212,0.015692069056260874,1.0,0.061511780386373505,3,3,3
2,100,fixed_rank,A_G2_time_average,0.5009485441158957,0.4940590642761049,-0.006889479839790731,0.017955885933852982,0.049742576096036904,0.013424333332416891,1.0,0.05262241969599534,3,3,3
2,100,fixed_rank,A_entry,0.4909752904297518,0.3881641894794359,-0.10281110095031597,0.2062302128810158,0.15755945002808133,0.08934558719131706,0.6666666666666666,0.3502282661451292,3,3,3
2,100,fixed_rank,A_fixed_time_mean,0.49522530149651994,0.44216678106937984,-0.053058520427140175,0.14051564233109004,0.14745953629260367,0.07963393324436985,0.6666666666666666,0.31215928221246353,3,3,3
2,100,fixed_rank,A_full_mean,0.5039836266039174,0.49058092552137506,-0.01340270108254236,0.017662612467052197,0.04544805356926178,0.010855425245232317,0.6666666666666666,0.04255248503504445,3,3,3
2,100,fixed_rank,B_G1_fixed_time,0.5538997353830438,0.5117171363316501,-0.04218259905139373,0.18083724305576682,0.31538762821140565,0.13755662307905658,1.0,0.5392120541398042,3,3,3
2,100,fixed_rank,B_G1_time_average,0.6065702311642214,0.5980903826724182,-0.008479848491803202,0.02668571567794593,0.06327516610558147,0.027796419224902665,1.0,0.10895996115997197,3,3,3
2,100,fixed_rank,B_G2_fixed_time,0.5859638329087206,0.5689642794674871,-0.016999553441233533,0.20966442942449093,0.38663587472899996,0.14512283459940678,1.0,0.568871058298401,3,3,3
2,100,fixed_rank,B_G2_minus_G1_fixed_time,0.032064097525676676,0.05724714313583689,0.02518304561016021,0.08844799704929367,0.08931151564484917,0.0316041225696973,0.0,0.12388588399919236,3,3,3
2,100,fixed_rank,B_G2_minus_G1_time_average,0.02207849010901186,0.03711800461037241,0.015039514501360552,0.07085754200088602,0.0956016699862151,0.038642025086934206,0.6666666666666666,0.15147395492016857,3,3,3
