semantic_replication_id,dgp,N,T,replication,true_rank_vector,total_starts,individually_valid_starts,interior_path_successes,constrained_path_successes,stationarity_or_kkt_failures,boundary_active_starts,objective_spread_all_starts,best_valid_pair_normalized_gap,objective_stability_pass,pilot_accepted,primary_status
dgp3_N100_T100_r00002_truth1-0-2,3,100,100,2,"(1,0,2)",3,0,0,0,3,2,0.0012530156907588075,,False,False,rank_selection_numerically_unresolved
dgp3_N100_T100_r00000_truth1-1-1,3,100,100,0,"(1,1,1)",3,0,0,0,3,2,0.011813863907978117,,False,False,rank_selection_numerically_unresolved
dgp3_N100_T100_r00001_truth1-1-1,3,100,100,1,"(1,1,1)",3,0,0,0,3,3,0.005754637134741003,,False,False,rank_selection_numerically_unresolved
dgp3_N100_T100_r00002_truth1-1-1,3,100,100,2,"(1,1,1)",3,0,0,0,3,3,0.0042887300087943725,,False,False,rank_selection_numerically_unresolved
dgp3_N100_T100_r00000_truth2-1-1,3,100,100,0,"(2,1,1)",3,1,0,1,2,1,0.001132334139452268,,False,False,rank_selection_numerically_unresolved
dgp3_N100_T100_r00001_truth2-1-1,3,100,100,1,"(2,1,1)",3,1,1,0,2,0,0.0011931995165828935,,False,False,rank_selection_numerically_unresolved
dgp3_N100_T100_r00002_truth2-1-1,3,100,100,2,"(2,1,1)",3,0,0,0,3,0,0.00030470219818740096,,False,False,rank_selection_numerically_unresolved
dgp3_N100_T200_r00000_truth1-0-2,3,100,200,0,"(1,0,2)",3,0,0,0,3,0,0.001155071129629981,,False,False,rank_selection_numerically_unresolved
dgp3_N100_T200_r00001_truth1-0-2,3,100,200,1,"(1,0,2)",3,1,1,0,2,0,0.00025932465289607576,,False,False,rank_selection_numerically_unresolved
dgp3_N100_T200_r00002_truth1-0-2,3,100,200,2,"(1,0,2)",3,0,0,0,3,1,0.001390551049060662,,False,False,rank_selection_numerically_unresolved
dgp3_N100_T200_r00000_truth1-1-1,3,100,200,0,"(1,1,1)",3,0,0,0,3,2,0.012094030845871018,,False,False,rank_selection_numerically_unresolved
dgp3_N100_T200_r00001_truth1-1-1,3,100,200,1,"(1,1,1)",3,1,0,1,2,1,0.011385854675590279,,False,False,rank_selection_numerically_unresolved
dgp3_N100_T200_r00002_truth1-1-1,3,100,200,2,"(1,1,1)",3,1,0,1,2,1,0.009623079768217746,,False,False,rank_selection_numerically_unresolved
dgp3_N100_T200_r00000_truth2-1-1,3,100,200,0,"(2,1,1)",3,0,0,0,3,0,0.000862576060929432,,False,False,rank_selection_numerically_unresolved
dgp3_N100_T200_r00001_truth2-1-1,3,100,200,1,"(2,1,1)",3,0,0,0,3,0,0.001002579362537559,,False,False,rank_selection_numerically_unresolved
dgp3_N100_T200_r00002_truth2-1-1,3,100,200,2,"(2,1,1)",3,0,0,0,3,0,0.0007170863080205314,,False,False,rank_selection_numerically_unresolved
dgp3_N200_T100_r00000_truth1-0-2,3,200,100,0,"(1,0,2)",3,0,0,0,3,0,0.0005587333474060818,,False,False,rank_selection_numerically_unresolved
dgp3_N200_T100_r00001_truth1-0-2,3,200,100,1,"(1,0,2)",3,0,0,0,3,2,0.0020781384937519354,,False,False,rank_selection_numerically_unresolved
dgp3_N200_T100_r00002_truth1-0-2,3,200,100,2,"(1,0,2)",3,0,0,0,3,0,0.003510751168449844,,False,False,rank_selection_numerically_unresolved
dgp3_N200_T100_r00000_truth1-1-1,3,200,100,0,"(1,1,1)",3,0,0,0,3,0,0.0034469773920253743,,False,False,rank_selection_numerically_unresolved
dgp3_N200_T100_r00001_truth1-1-1,3,200,100,1,"(1,1,1)",3,0,0,0,3,3,0.0014776740119339937,,False,False,rank_selection_numerically_unresolved
dgp3_N200_T100_r00002_truth1-1-1,3,200,100,2,"(1,1,1)",3,1,0,1,2,3,0.0031326957593469373,,False,False,rank_selection_numerically_unresolved
dgp3_N200_T100_r00000_truth2-1-1,3,200,100,0,"(2,1,1)",3,0,0,0,3,0,0.0005342422615919884,,False,False,rank_selection_numerically_unresolved
dgp3_N200_T100_r00001_truth2-1-1,3,200,100,1,"(2,1,1)",3,0,0,0,3,0,0.0005307208841480726,,False,False,rank_selection_numerically_unresolved
dgp3_N200_T100_r00002_truth2-1-1,3,200,100,2,"(2,1,1)",3,0,0,0,3,0,0.000983601283538249,,False,False,rank_selection_numerically_unresolved
dgp3_N200_T200_r00000_truth1-0-2,3,200,200,0,"(1,0,2)",3,0,0,0,3,0,0.0006068646937098521,,False,False,rank_selection_numerically_unresolved
dgp3_N200_T200_r00001_truth1-0-2,3,200,200,1,"(1,0,2)",3,0,0,0,3,0,0.0010182182416818564,,False,False,rank_selection_numerically_unresolved
dgp3_N200_T200_r00002_truth1-0-2,3,200,200,2,"(1,0,2)",3,0,0,0,3,0,0.000168210554303605,,False,False,rank_selection_numerically_unresolved
