design,dgp,N,T,true_rank,c_H,c_xi,intended_pooled_R2,achieved_calibration_R2,r2_scale_identified,C_A,C_beta,C_H,C_Theta,calibration_seed,calibration_draws,status
rank_stress,3,200,200,"(1,0,2)",0.7301712917987002,1.0,induced_only,0.5351422818034989,false,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50,candidate_not_activated
rank_stress,4,50,50,"(1,1,1)",0.6546536707079772,2.436662061551646,0.65,0.65,true,0.85,1.71466333698683,8.288745227963506,8.288745227963506,20260807,50,candidate_not_activated
rank_stress,4,50,50,"(2,1,1)",0.6546536707079772,0.850942551227217,0.65,0.6499999999972249,true,0.85,1.71466333698683,2.8946344764215013,2.8946344764215013,20260807,50,candidate_not_activated
rank_stress,4,50,50,"(1,0,2)",0.7301712917987002,1.0,induced_only,0.5365897328913953,false,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50,candidate_not_activated
rank_stress,4,100,100,"(1,1,1)",0.6546536707079772,2.0062526677634063,0.65,0.65,true,0.85,1.71466333698683,6.8246300906509685,6.8246300906509685,20260807,50,candidate_not_activated
rank_stress,4,100,100,"(2,1,1)",0.6546536707079772,0.8572910716014376,0.65,0.6499999999952658,true,0.85,1.71466333698683,2.9162301128401773,2.9162301128401773,20260807,50,candidate_not_activated
rank_stress,4,100,100,"(1,0,2)",0.7301712917987002,1.0,induced_only,0.5265816679287206,false,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50,candidate_not_activated
rank_stress,4,200,200,"(1,1,1)",0.6546536707079772,2.003037575694791,0.65,0.65,true,0.85,1.71466333698683,6.813693375436455,6.813693375436455,20260807,50,candidate_not_activated
rank_stress,4,200,200,"(2,1,1)",0.6546536707079772,0.8502963674518154,0.65,0.6499999999969691,true,0.85,1.71466333698683,2.89243636583027,2.89243636583027,20260807,50,candidate_not_activated
rank_stress,4,200,200,"(1,0,2)",0.7301712917987002,1.0,induced_only,0.5210906542635242,false,0.85,0.0,3.794081326870647,3.794081326870647,20260807,50,candidate_not_activated
