dgp,N,T,replication,target,record_type,true_rank_vector,status,failure_detail,config_hash,git_commit,replication_failure_status,any_near_singularity
1,50,50,13,A_G2_time_average,,,missing_target_record,,,,,False
1,50,50,13,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,13,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,13,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,13,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,13,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,13,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,13,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,14,A_entry,,,missing_target_record,,,,,False
1,50,50,14,B_entry,,,missing_target_record,,,,,False
1,50,50,14,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,14,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,14,A_full_mean,,,missing_target_record,,,,,False
1,50,50,14,B_full_mean,,,missing_target_record,,,,,False
1,50,50,14,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,14,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,14,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,14,A_G1_time_average,,,missing_target_record,,,,,False
1,50,50,14,A_G2_time_average,,,missing_target_record,,,,,False
1,50,50,14,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,14,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,14,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,14,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,14,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,14,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,14,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,15,A_entry,,,missing_target_record,,,,,False
1,50,50,15,B_entry,,,missing_target_record,,,,,False
1,50,50,15,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,15,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,15,A_full_mean,,,missing_target_record,,,,,False
1,50,50,15,B_full_mean,,,missing_target_record,,,,,False
1,50,50,15,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,15,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,15,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,15,A_G1_time_average,,,missing_target_record,,,,,False
1,50,50,15,A_G2_time_average,,,missing_target_record,,,,,False
1,50,50,15,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,15,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,15,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,15,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,15,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,15,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,15,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,16,A_entry,,,missing_target_record,,,,,False
1,50,50,16,B_entry,,,missing_target_record,,,,,False
1,50,50,16,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,16,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,16,A_full_mean,,,missing_target_record,,,,,False
1,50,50,16,B_full_mean,,,missing_target_record,,,,,False
