diagnostic_label,c_kappa,N,eligible_saved_replications,Exact,Under_only,Over_only,Mixed,modal_selected_rank,modal_count,selected_rank_distribution
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.188262543978047e-07,100,12,1,0,11,0,"(2,2,3)",3,"{""(1,1,1)"": 1, ""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.222573456434516e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.222573456434516e-07,100,12,1,0,11,0,"(2,2,3)",3,"{""(1,1,1)"": 1, ""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.257028140381855e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.257028140381855e-07,100,12,1,0,11,0,"(2,2,3)",3,"{""(1,1,1)"": 1, ""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.275530000626126e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.275530000626126e-07,100,12,1,0,11,0,"(2,2,3)",3,"{""(1,1,1)"": 1, ""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.294073318744425e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.294073318744425e-07,100,12,1,0,11,0,"(2,2,3)",3,"{""(1,1,1)"": 1, ""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.306142797575856e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.306142797575856e-07,100,12,1,0,11,0,"(2,2,3)",3,"{""(1,1,1)"": 1, ""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.318229839830428e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.318229839830428e-07,100,12,1,0,11,0,"(2,2,3)",3,"{""(1,1,1)"": 1, ""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.325495780357917e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.325495780357917e-07,100,12,1,0,11,0,"(2,2,3)",3,"{""(1,1,1)"": 1, ""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.332768067655424e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.332768067655424e-07,100,12,1,0,11,0,"(2,2,3)",3,"{""(1,1,1)"": 1, ""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.361862898013129e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.361862898013129e-07,100,12,1,0,11,0,"(2,2,3)",3,"{""(1,1,1)"": 1, ""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.391059316360165e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.391059316360165e-07,100,12,1,0,11,0,"(2,2,3)",3,"{""(1,1,1)"": 1, ""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.465544821431164e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.465544821431164e-07,100,12,1,0,11,0,"(2,2,3)",3,"{""(1,1,1)"": 1, ""(1,1,3)"": 1, ""(1,2,3)"": 2, ""(1,3,3)"": 2, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
