semantic_replication_id,dgp,N,T,true_rank,replication,finite_start_count,box_feasible_start_count,constrained_fallback_start_count,boundary_active_start_count,any_boundary_active,selected_best_pilot_boundary_active,maximum_constraint_violation,maximum_coefficient_envelope_ratio,maximum_absolute_coefficient,B,literal_box_rejection
dgp3_N100_T200_r00001_truth2-1-1,3,100,200,"(2,1,1)",1,3,3,0,0,False,False,0.0,0.4785741973602503,4.785741973602503,10.0,False
dgp3_N100_T200_r00002_truth1-0-2,3,100,200,"(1,0,2)",2,3,3,0,0,False,False,0.0,0.7265358401621171,7.265358401621171,10.0,False
dgp3_N100_T200_r00002_truth1-1-1,3,100,200,"(1,1,1)",2,3,3,1,1,True,False,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp3_N100_T200_r00002_truth2-1-1,3,100,200,"(2,1,1)",2,3,3,0,0,False,False,0.0,0.7151986303221791,7.151986303221792,10.0,False
dgp3_N200_T100_r00000_truth1-0-2,3,200,100,"(1,0,2)",0,3,3,1,1,True,False,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp3_N200_T100_r00000_truth1-1-1,3,200,100,"(1,1,1)",0,3,3,1,1,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp3_N200_T100_r00000_truth2-1-1,3,200,100,"(2,1,1)",0,3,3,0,0,False,False,0.0,0.42733481094823295,4.273348109482329,10.0,False
dgp3_N200_T100_r00001_truth1-0-2,3,200,100,"(1,0,2)",1,3,3,0,0,False,False,0.0,0.7147516312996858,7.147516312996858,10.0,False
dgp3_N200_T100_r00001_truth1-1-1,3,200,100,"(1,1,1)",1,3,3,2,2,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp3_N200_T100_r00001_truth2-1-1,3,200,100,"(2,1,1)",1,3,3,0,0,False,False,0.0,0.743976545841924,7.43976545841924,10.0,False
dgp3_N200_T100_r00002_truth1-0-2,3,200,100,"(1,0,2)",2,3,3,0,0,False,False,0.0,0.4598842341723309,4.598842341723309,10.0,False
dgp3_N200_T100_r00002_truth1-1-1,3,200,100,"(1,1,1)",2,3,3,3,3,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp3_N200_T100_r00002_truth2-1-1,3,200,100,"(2,1,1)",2,3,3,0,0,False,False,0.0,0.593960360868482,5.93960360868482,10.0,False
dgp3_N200_T200_r00000_truth1-0-2,3,200,200,"(1,0,2)",0,3,3,0,0,False,False,0.0,0.4504477574519165,4.504477574519165,10.0,False
dgp3_N200_T200_r00000_truth1-1-1,3,200,200,"(1,1,1)",0,3,3,0,0,False,False,0.0,0.9217020408313106,9.217020408313106,10.0,False
dgp3_N200_T200_r00000_truth2-1-1,3,200,200,"(2,1,1)",0,3,3,0,0,False,False,0.0,0.3376807167209508,3.376807167209508,10.0,False
dgp3_N200_T200_r00001_truth1-0-2,3,200,200,"(1,0,2)",1,3,3,0,0,False,False,0.0,0.5583198525740227,5.583198525740228,10.0,False
dgp3_N200_T200_r00001_truth1-1-1,3,200,200,"(1,1,1)",1,3,3,1,1,True,True,0.0,1.0,10.0,10.0,False
dgp3_N200_T200_r00001_truth2-1-1,3,200,200,"(2,1,1)",1,3,3,0,0,False,False,0.0,0.5275016665840886,5.2750166658408855,10.0,False
dgp3_N200_T200_r00002_truth1-0-2,3,200,200,"(1,0,2)",2,3,3,0,0,False,False,0.0,0.4278384659574012,4.278384659574012,10.0,False
dgp3_N200_T200_r00002_truth1-1-1,3,200,200,"(1,1,1)",2,3,3,1,1,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp3_N200_T200_r00002_truth2-1-1,3,200,200,"(2,1,1)",2,3,3,0,0,False,False,0.0,0.37986204555052955,3.7986204555052954,10.0,False
dgp3_N50_T50_r00000_truth1-0-2,3,50,50,"(1,0,2)",0,3,3,3,3,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp3_N50_T50_r00000_truth1-1-1,3,50,50,"(1,1,1)",0,3,3,3,3,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp3_N50_T50_r00000_truth2-1-1,3,50,50,"(2,1,1)",0,3,3,2,2,True,True,3.552713678800501e-15,1.0000000000000004,10.000000000000004,10.0,False
dgp3_N50_T50_r00001_truth1-0-2,3,50,50,"(1,0,2)",1,3,3,3,3,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp3_N50_T50_r00001_truth1-1-1,3,50,50,"(1,1,1)",1,3,3,3,3,True,True,3.552713678800501e-15,1.0000000000000004,10.000000000000004,10.0,False
dgp3_N50_T50_r00001_truth2-1-1,3,50,50,"(2,1,1)",1,3,3,2,2,True,True,0.0,1.0,10.0,10.0,False
dgp3_N50_T50_r00002_truth1-0-2,3,50,50,"(1,0,2)",2,3,3,2,2,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp3_N50_T50_r00002_truth1-1-1,3,50,50,"(1,1,1)",2,3,3,3,3,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp3_N50_T50_r00002_truth2-1-1,3,50,50,"(2,1,1)",2,3,3,2,2,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp4_N100_T100_r00000_truth1-0-2,4,100,100,"(1,0,2)",0,3,3,2,1,True,True,0.0,1.0,10.0,10.0,False
dgp4_N100_T100_r00000_truth1-1-1,4,100,100,"(1,1,1)",0,3,3,1,1,True,False,0.0,1.0,10.0,10.0,False
dgp4_N100_T100_r00000_truth2-1-1,4,100,100,"(2,1,1)",0,3,3,0,0,False,False,0.0,0.555862736122357,5.558627361223571,10.0,False
dgp4_N100_T100_r00001_truth1-0-2,4,100,100,"(1,0,2)",1,3,3,0,0,False,False,0.0,0.9364896788985428,9.364896788985428,10.0,False
dgp4_N100_T100_r00001_truth1-1-1,4,100,100,"(1,1,1)",1,3,3,2,2,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp4_N100_T100_r00001_truth2-1-1,4,100,100,"(2,1,1)",1,3,3,0,0,False,False,0.0,0.6682106898375259,6.682106898375259,10.0,False
dgp4_N100_T100_r00002_truth1-0-2,4,100,100,"(1,0,2)",2,3,3,1,0,False,False,0.0,0.9193332118091447,9.193332118091448,10.0,False
dgp4_N100_T100_r00002_truth1-1-1,4,100,100,"(1,1,1)",2,3,3,1,1,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp4_N100_T100_r00002_truth2-1-1,4,100,100,"(2,1,1)",2,3,3,0,0,False,False,0.0,0.5943684887145284,5.9436848871452845,10.0,False
dgp4_N100_T200_r00000_truth1-0-2,4,100,200,"(1,0,2)",0,3,3,1,0,False,False,0.0,0.9308580987862983,9.308580987862983,10.0,False
dgp4_N100_T200_r00000_truth1-1-1,4,100,200,"(1,1,1)",0,3,3,2,2,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp4_N100_T200_r00000_truth2-1-1,4,100,200,"(2,1,1)",0,3,3,0,0,False,False,0.0,0.4424349164010504,4.424349164010504,10.0,False
dgp4_N100_T200_r00001_truth1-0-2,4,100,200,"(1,0,2)",1,3,3,0,0,False,False,0.0,0.9378058621441114,9.378058621441115,10.0,False
dgp4_N100_T200_r00001_truth1-1-1,4,100,200,"(1,1,1)",1,3,3,0,0,False,False,0.0,0.9800033140792672,9.800033140792673,10.0,False
dgp4_N100_T200_r00001_truth2-1-1,4,100,200,"(2,1,1)",1,3,3,0,0,False,False,0.0,0.486163077391445,4.86163077391445,10.0,False
dgp4_N100_T200_r00002_truth1-0-2,4,100,200,"(1,0,2)",2,3,3,0,0,False,False,0.0,0.6168238698014923,6.168238698014923,10.0,False
dgp4_N100_T200_r00002_truth1-1-1,4,100,200,"(1,1,1)",2,3,3,3,3,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp4_N100_T200_r00002_truth2-1-1,4,100,200,"(2,1,1)",2,3,3,0,0,False,False,0.0,0.5125875961990303,5.125875961990303,10.0,False
dgp4_N200_T100_r00000_truth1-0-2,4,200,100,"(1,0,2)",0,3,3,1,1,True,False,0.0,1.0,10.0,10.0,False
dgp4_N200_T100_r00000_truth1-1-1,4,200,100,"(1,1,1)",0,3,3,1,1,True,True,0.0,0.9999999999999998,9.999999999999998,10.0,False
dgp4_N200_T100_r00000_truth2-1-1,4,200,100,"(2,1,1)",0,3,3,0,0,False,False,0.0,0.8432341824844183,8.432341824844183,10.0,False
dgp4_N200_T100_r00001_truth1-0-2,4,200,100,"(1,0,2)",1,3,3,1,1,True,False,0.0,1.0,10.0,10.0,False
dgp4_N200_T100_r00001_truth1-1-1,4,200,100,"(1,1,1)",1,3,3,1,1,True,True,0.0,1.0,10.0,10.0,False
dgp4_N200_T100_r00001_truth2-1-1,4,200,100,"(2,1,1)",1,3,3,0,0,False,False,0.0,0.4887959548326367,4.887959548326367,10.0,False
dgp4_N200_T100_r00002_truth1-0-2,4,200,100,"(1,0,2)",2,3,3,1,1,True,True,0.0,0.9999999999999998,9.999999999999998,10.0,False
dgp4_N200_T100_r00002_truth1-1-1,4,200,100,"(1,1,1)",2,3,3,2,1,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp4_N200_T100_r00002_truth2-1-1,4,200,100,"(2,1,1)",2,3,3,0,0,False,False,0.0,0.422133107745071,4.22133107745071,10.0,False
dgp4_N200_T200_r00000_truth1-0-2,4,200,200,"(1,0,2)",0,3,3,0,0,False,False,0.0,0.40630802938645305,4.06308029386453,10.0,False
dgp4_N200_T200_r00000_truth1-1-1,4,200,200,"(1,1,1)",0,3,3,1,0,False,False,0.0,0.7998567438626031,7.998567438626031,10.0,False
dgp4_N200_T200_r00000_truth2-1-1,4,200,200,"(2,1,1)",0,3,3,0,0,False,False,0.0,0.43061077538282966,4.306107753828297,10.0,False
