semantic_replication_id,dgp,N,T,true_rank,replication,start_1_objective,start_2_objective,start_3_objective,best_finite_objective,worst_finite_objective,absolute_objective_spread_all_finite,relative_objective_spread_all_finite,best_start_number,valid_start_count,best_valid_objective,second_valid_objective,worst_accepted_finite_objective,best_two_valid_objective_gap,objective_agreement_tolerance,same_solution_all_starts_under_tolerance,objective_agreement_pass
dgp2_N200_T200_r00001_truth2-1-1,2,200,200,"(2,1,1)",1,0.2735841892425531,0.2734087308600213,0.2730652971490601,0.2730652971490601,0.2735841892425531,0.0005188920934930397,0.0005188920934930397,3,1,0.2735841892425531,,0.2735841892425531,,1e-06,False,False
dgp2_N200_T200_r00002_truth1-0-2,2,200,200,"(1,0,2)",2,0.3802357047729666,0.3801996516396851,0.3800915083294289,0.3800915083294289,0.3802357047729666,0.0001441964435376919,0.0001441964435376919,3,0,,,,,1e-06,False,False
dgp2_N200_T200_r00002_truth1-1-1,2,200,200,"(1,1,1)",2,1.2679298730458846,1.2653975154645356,1.267097303423489,1.2653975154645356,1.2679298730458846,0.002532357581348954,0.002001234829688526,2,0,,,,,1e-06,False,False
dgp2_N200_T200_r00002_truth2-1-1,2,200,200,"(2,1,1)",2,0.26528507410009816,0.26512098124179,0.26561577467012537,0.26512098124179,0.26561577467012537,0.0004947934283353606,0.0004947934283353606,2,1,0.26528507410009816,,0.26528507410009816,,1e-06,False,False
dgp2_N50_T50_r00000_truth1-0-2,2,50,50,"(1,0,2)",0,0.14375550794443107,0.1409296345286971,0.14227353049762267,0.1409296345286971,0.14375550794443107,0.002825873415733954,0.002825873415733954,2,0,,,,,1e-06,False,False
dgp2_N50_T50_r00000_truth1-1-1,2,50,50,"(1,1,1)",0,0.4346177133093791,0.447522935266065,0.42484641698484665,0.42484641698484665,0.447522935266065,0.02267651828121836,0.02267651828121836,3,0,,,,,1e-06,False,False
dgp2_N50_T50_r00000_truth2-1-1,2,50,50,"(2,1,1)",0,0.08789051334259057,0.08713182776026608,0.0927739911786776,0.08713182776026608,0.0927739911786776,0.005642163418411519,0.005642163418411519,2,1,0.08713182776026608,,0.08713182776026608,,1e-06,False,False
dgp2_N50_T50_r00001_truth1-0-2,2,50,50,"(1,0,2)",1,0.15642231545183946,0.1502751381906849,0.1472189554699896,0.1472189554699896,0.15642231545183946,0.009203359981849873,0.009203359981849873,3,1,0.1502751381906849,,0.1502751381906849,,1e-06,False,False
dgp2_N50_T50_r00001_truth1-1-1,2,50,50,"(1,1,1)",1,0.4000764755092462,0.41974510313282637,0.4003526160791048,0.4000764755092462,0.41974510313282637,0.01966862762358018,0.01966862762358018,1,0,,,,,1e-06,False,False
dgp2_N50_T50_r00001_truth2-1-1,2,50,50,"(2,1,1)",1,0.10027591287259525,0.10390577724484915,0.09800862756890519,0.09800862756890519,0.10390577724484915,0.005897149675943958,0.005897149675943958,3,1,0.10390577724484915,,0.10390577724484915,,1e-06,False,False
