semantic_replication_id,dgp,N,T,true_rank,replication,start_1_objective,start_2_objective,start_3_objective,best_finite_objective,worst_finite_objective,absolute_objective_spread_all_finite,relative_objective_spread_all_finite,best_start_number,valid_start_count,best_valid_objective,second_valid_objective,worst_accepted_finite_objective,best_two_valid_objective_gap,objective_agreement_tolerance,same_solution_all_starts_under_tolerance,objective_agreement_pass
dgp2_N100_T200_r00002_truth1-0-2,2,100,200,"(1,0,2)",2,0.3375021924392415,0.3373542146270181,0.33802079607750346,0.3373542146270181,0.33802079607750346,0.0006665814504853707,0.0006665814504853707,2,0,,,,,1e-06,False,False
dgp2_N100_T200_r00002_truth1-1-1,2,100,200,"(1,1,1)",2,1.1269334346391036,1.1306652026087738,1.1335728535319565,1.1269334346391036,1.1335728535319565,0.006639418892852911,0.005891580362046105,1,1,1.1269334346391036,,1.1269334346391036,,1e-06,False,False
dgp2_N100_T200_r00002_truth2-1-1,2,100,200,"(2,1,1)",2,0.21629497564048106,0.21612307634864383,0.21589057453424476,0.21589057453424476,0.21629497564048106,0.0004044011062362962,0.0004044011062362962,3,0,,,,,1e-06,False,False
dgp2_N200_T100_r00000_truth1-0-2,2,200,100,"(1,0,2)",0,0.34704560450849575,0.3489328972340034,0.3476704226013163,0.34704560450849575,0.3489328972340034,0.0018872927255076388,0.0018872927255076388,1,0,,,,,1e-06,False,False
dgp2_N200_T100_r00000_truth1-1-1,2,200,100,"(1,1,1)",0,1.2948513322979065,1.294060776856515,1.2913248838056155,1.2913248838056155,1.2948513322979065,0.003526448492291001,0.0027308762779342842,3,0,,,,,1e-06,False,False
dgp2_N200_T100_r00000_truth2-1-1,2,200,100,"(2,1,1)",0,0.2274818233123853,0.22686373887704586,0.22727327907334074,0.22686373887704586,0.2274818233123853,0.0006180844353394499,0.0006180844353394499,2,0,,,,,1e-06,False,False
dgp2_N200_T100_r00001_truth1-0-2,2,200,100,"(1,0,2)",1,0.3297923851751168,0.32966493548441955,0.3299455003697833,0.32966493548441955,0.3299455003697833,0.00028056488536376545,0.00028056488536376545,2,0,,,,,1e-06,False,False
dgp2_N200_T100_r00001_truth1-1-1,2,200,100,"(1,1,1)",1,1.256731016723391,1.2595206267794459,1.261265893951285,1.256731016723391,1.261265893951285,0.004534877227894141,0.0036084708402579963,1,0,,,,,1e-06,False,False
dgp2_N200_T100_r00001_truth2-1-1,2,200,100,"(2,1,1)",1,0.23636126250900402,0.23679145289931502,0.2358124271247102,0.2358124271247102,0.23679145289931502,0.0009790257746048192,0.0009790257746048192,3,0,,,,,1e-06,False,False
dgp2_N200_T100_r00002_truth1-0-2,2,200,100,"(1,0,2)",2,0.349617377975098,0.34908888765650237,0.35050127562433114,0.34908888765650237,0.35050127562433114,0.0014123879678287765,0.0014123879678287765,2,0,,,,,1e-06,False,False
dgp2_N200_T100_r00002_truth1-1-1,2,200,100,"(1,1,1)",2,1.2299618919887187,1.2278380231138881,1.2300313620443697,1.2278380231138881,1.2300313620443697,0.00219333893048157,0.0017863422448175206,2,1,1.2299618919887187,,1.2299618919887187,,1e-06,False,False
dgp2_N200_T100_r00002_truth2-1-1,2,200,100,"(2,1,1)",2,0.23588455687210036,0.2360991216643226,0.23645917532395078,0.23588455687210036,0.23645917532395078,0.0005746184518504172,0.0005746184518504172,1,0,,,,,1e-06,False,False
dgp2_N200_T200_r00000_truth1-0-2,2,200,200,"(1,0,2)",0,0.38978333867724857,0.38967664326582246,0.3904698395130332,0.38967664326582246,0.3904698395130332,0.0007931962472107479,0.0007931962472107479,2,0,,,,,1e-06,False,False
dgp2_N200_T200_r00000_truth1-1-1,2,200,200,"(1,1,1)",0,1.240779980406369,1.2417992704227983,1.240996949035957,1.240779980406369,1.2417992704227983,0.0010192900164291974,0.0008214913461896514,1,1,1.240996949035957,,1.240996949035957,,1e-06,False,False
dgp2_N200_T200_r00000_truth2-1-1,2,200,200,"(2,1,1)",0,0.2696965346713436,0.26983413774930576,0.2697919512185892,0.2696965346713436,0.26983413774930576,0.0001376030779621784,0.0001376030779621784,1,1,0.2697919512185892,,0.2697919512185892,,1e-06,False,False
dgp2_N200_T200_r00001_truth1-0-2,2,200,200,"(1,0,2)",1,0.38146782173394667,0.3826672761721004,0.38195666940093437,0.38146782173394667,0.3826672761721004,0.0011994544381537242,0.0011994544381537242,1,1,0.38146782173394667,,0.38146782173394667,,1e-06,False,False
dgp2_N200_T200_r00001_truth1-1-1,2,200,200,"(1,1,1)",1,1.2705061210139659,1.2691406820316826,1.2691340225572578,1.2691340225572578,1.2705061210139659,0.0013720984567080485,0.0010811296776547848,3,0,,,,,1e-06,False,False
